1	4
2	4
3	7
4	7
5	7
6	7
7	3
8	3
9	2
10	2
11	7
12	7
13	7
14	7
15	4
16	6
17	6
18	6
19	6
20	6
21	6
22	6
23	7
24	6
25	3
26	6
27	7
28	6
29	6
30	6
31	6
32	6
33	7
34	6
35	7
36	6
37	4
38	4
39	7
40	6
41	7
42	7
43	7
44	7
45	5
46	5
47	5
48	5
49	5
50	5
51	7
52	7
53	2
54	2
55	3
56	3
57	2
58	2
59	2
60	2
61	4
62	4
63	3
64	3
65	2
66	2
67	2
68	2
69	5
70	5
71	2
72	2
73	2
74	2
75	2
76	2
77	5
78	5
79	7
80	2
81	7
82	7
83	7
84	7
85	3
86	3
87	7
88	7
89	5
90	5
91	3
92	3
93	5
94	5
95	7
96	5
97	3
98	3
99	6
100	6
101	5
102	5
103	5
104	5
105	1
106	1
107	3
108	1
109	5
110	5
111	5
112	5
113	7
114	1
115	5
116	5
117	5
118	5
119	1
120	1
121	7
122	7
123	7
124	4
125	3
126	3
127	3
128	3
129	3
130	3
131	2
132	2
133	3
134	3
135	1
136	3
137	6
138	6
139	3
140	3
141	7
142	6
143	7
144	7
145	4
146	4
147	6
148	3
149	4
150	3
151	7
152	1
153	7
154	7
155	2
156	2
157	2
158	2
159	2
160	2
161	2
162	2
163	2
164	2
165	7
166	4
167	4
168	4
169	4
170	4
171	2
172	2
173	4
174	4
175	7
176	7
177	6
178	7
179	7
180	4
181	7
182	7
183	4
184	4
185	4
186	4
187	7
188	7
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	8
212	8
213	8
214	8
215	8
216	8
217	8
218	8
219	8
220	8
221	8
222	8
223	8
224	8
225	9
